TheTime	B_DO	B_K	B_LevelControl_in	B_LevelControl_out	B_MFC	B_NH4	B_pH	B_Pump_acid	B_Pump_base	B_Pump_effluent	B_Pump_effluent_speed	B_Pump_influent	B_Pump_influent_speed	B_Stirrer	B_T_DO	B_T_ISE	B_Valve_air	B_Valve_N2	B_slopeNH4
42424.77812	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003879329
42424.77818	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003820666
42424.77824	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003765858
42424.77830	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003713820
42424.77836	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003663938
42424.77841	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003616221
42424.77847	0	0.194	-0.40		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003570964
42424.77853	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003527585
42424.77859	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003488317
42424.77865	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003450935
42424.77870	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003415457
42424.77876	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003382689
42424.77882	0	0.194	-0.40		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003353393
42424.77888	0	0.194	-0.41		0	13.5	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003326701
42424.77894	0	0.194	-0.41		0	13.4	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003302778
42424.77900	0	0.194	-0.41		0	13.4	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003282327
42424.77905	0	0.194	-0.41		0	13.4	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003263288
42424.77911	0	0.194	-0.41		0	13.4	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003246561
42424.77917	0	0.194	-0.41		0	13.4	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003231781
42424.77923	0	0.194	-0.41		0	13.4	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003219943
42424.77929	0	0.194	-0.41		0	13.4	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003211141
42424.77934	0	0.194	-0.41		0	13.4	7.19	0	0	0	2.67	0	1.12	1.0	22.3	20.0	0	0	0.0003204267
42424.77940	0	0.194	-0.41		0	13.4	7.19	0	0	0	2.67		1.12	1.0	22.3	20.0	0		0.0003198721
42424.77946	0	0.195	-0.41		0	13.4	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.0	0	1.0	0.0003195590
42424.77952	0	0.195	-0.41		0	13.4	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.0	0	1.0	0.0003191929
42424.77958	0	0.196	-0.41		0	13.5	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.0	0	1.0	0.0003173250
42424.77963	0	0.199	-0.41		0	13.6	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.0	0	1.0	0.0003082827
42424.77969	0	0.203	-0.41		0	13.8	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.0	0	1.0	0.0002866770
42424.77975	0	0.206	-0.41		0	14.1	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.0	0	1.0	0.0002460529
42424.77981	0	0.212	-0.41		0	14.3	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.0	0	1.0	0.0001840232
42424.77987	0	0.217	-0.41		0	14.5	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.0	0	1.0	0.0001018942
42424.77992	0	0.222	-0.41		0	14.9	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.0	0	1.0	-4.011173e-07
42424.77998	0	0.226	-0.41		0	15.2	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.0	0	1.0	-0.0001286381
42424.78004	0	0.232	-0.41		0	15.5	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.0002776438
42424.78010	0	0.237	-0.41		0	15.7	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.0004474166
42424.78016	0	0.242	-0.41		0	16.1	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.0006386634
42424.78021	0	0.248	-0.41		0	16.3	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.0008518594
42424.78027	0	0.253	-0.41		0	16.6	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.001083809
42424.78033	0	0.260	-0.41		0	16.9	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.001334005
42424.78039	0	0.265	-0.41		0	17.2	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.001606113
42424.78045	0	0.272	-0.41		0	17.5	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.001894135
42424.78050	0	0.277	-0.41		0	17.7	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.002198231
42424.78056	0	0.284	-0.41		0	18.0	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.002520098
42424.78062	0	0.289	-0.41		0	18.2	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.002857522
42424.78068	0	0.295	-0.41		0	18.5	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.003208803
42424.78074	0	0.301	-0.41		0	18.8	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.003574753
42424.78079	0	0.306	-0.40		0	19.1	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.003957197
42424.78085	0	0.313	-0.41		0	19.3	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.004354248
42424.78091	0	0.320	-0.41		0	19.5	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.004762723
42424.78097	0	0.326	-0.41		0	19.8	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.005181300
42424.78103	0	0.331	-0.41		0	20.0	7.20		0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.005613851
42424.78108	0	0.338	-0.41		0	20.3	7.20	0.50	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.006056217
42424.78114	0	0.343	-0.41		0	20.5	7.20	0.50	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.006508233
42424.78120	0	0.350	-0.41		0	20.7	7.20	0.50	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.006970718
42424.78126	0	0.355	-0.40		0	20.9	7.20	0.50	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.007443730
42424.78132	0	0.360	-0.41		0	21.2	7.20	1.0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.007926058
42424.78138	0	0.367	-0.41		0	21.4	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.008419207
42424.78143	0	0.374	-0.41		0	21.6	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.008969101
42424.78149	0	0.379	-0.41		0	21.9	7.20	0.50	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.009526444
42424.78155	0	0.385	-0.41		0	22.1	7.20	0.50	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01004301
42424.78161	0	0.391	-0.41		0	22.3	7.20	1.0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01056474
42424.78167	0	0.397	-0.41		0	22.5	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01109196
42424.78172	0	0.402	-0.40		0	22.8	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01162643
42424.78178	0	0.409	-0.41		0	23.0	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01216585
42424.78184	2.23e-05	0.415	-0.41		0	23.2	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.9	0	1.0	-0.01270884
